Time	Open	High	Low	Close	Volume
2017-01-27 14:00:00	251.34	251.91	248.55	250.92	30	180
2017-01-27 15:00:00	250.99	251.4	249.8	250.17	60	130
2017-01-27 16:00:00	250.19	250.51	248.65	249.31	60	120
2017-01-27 17:00:00	249.36	251.18	249.31	250.88	60	100
2017-01-27 18:00:00	250.95	251.63	250.13	251.52	60	60
2017-01-27 19:00:00	251.51	252.46	251.38	251.94	60	130
2017-01-27 20:00:00	251.89	252.99	251.67	252.99	60	100
2017-01-30 14:00:00	252.51	255.14	250.59	251.01	30	230
2017-01-30 15:00:00	250.94	251.25	247.1	247.32	60	210
2017-01-30 16:00:00	247.32	251	247.1	251	60	270
2017-01-30 17:00:00	251.11	251.25	249.29	249.72	59	3
2017-01-30 18:00:00	249.81	250.14	248.88	250.05	60	60
2017-01-30 19:00:00	250.09	251.21	249.25	251.09	59	110
2017-01-30 20:00:00	251.2	251.2	250	250.63	60	90
2017-01-31 14:00:00	248.87	250.67	247.68	249.56	30	150
2017-01-31 15:00:00	249.54	254.18	248.4	254.18	60	160
2017-01-31 16:00:00	254.18	255.76	253.54	253.64	60	60
2017-01-31 17:00:00	253.64	254.43	253.02	253.35	60	120
2017-01-31 18:00:00	253.35	253.44	252.52	252.68	60	80
2017-01-31 19:00:00	252.69	254.05	251.62	252.28	60	270
2017-01-31 20:00:00	252.29	252.46	251.83	251.99	60	50
2017-02-01 14:00:00	253.02	253.1	249.06	249.75	30	80
2017-02-01 15:00:00	249.76	251.91	249.7	250.12	60	130
2017-02-01 16:00:00	250.11	251.39	249.34	250.31	60	180
2017-02-01 17:00:00	250.31	250.57	249.81	250.02	60	60
2017-02-01 18:00:00	250.02	250.29	249.75	250.03	60	90
2017-02-01 19:00:00	250.03	251.36	249.8	249.92	60	110
2017-02-01 20:00:00	249.93	250.02	249.06	249.16	60	40
2017-02-02 14:00:00	248.2	249.53	247.75	249.03	30	140
2017-02-02 15:00:00	249.03	251.49	248.65	251.46	60	370
2017-02-02 16:00:00	251.596	252.05	250.54	251.13	60	194
2017-02-02 17:00:00	251.126	252.32	251.12	251.65	60	194
2017-02-02 18:00:00	251.69	252.04	251.27	251.45	60	110
2017-02-02 19:00:00	251.45	251.88	250.74	251.24	60	200
2017-02-02 20:00:00	251.278	251.67	251	251.407	60	16
2017-02-03 14:00:00	251.907	251.91	249.68	251.08	30	107
2017-02-03 15:00:00	251.08	251.88	250.4	251.24	60	203
2017-02-03 16:00:00	251.24	251.64	250.54	251.02	60	150
2017-02-03 17:00:00	251.018	251.36	250.88	251.07	60	92
2017-02-03 18:00:00	251.076	251.407	251.01	251.19	60	124
2017-02-03 19:00:00	251.17	251.76	251.02	251.25	59	150
2017-02-03 20:00:00	251.25	251.41	250.87	251.24	60	120
2017-02-06 14:00:00	250.717	253.87	250.63	252.65	30	305
2017-02-06 15:00:00	252.647	253.4	251.68	253.02	60	253
2017-02-06 16:00:00	253.02	254.13	252.88	253.34	60	182
2017-02-06 17:00:00	253.34	254.72	253.33	254.23	60	142
2017-02-06 18:00:00	254.226	255.89	254.11	255.82	60	64
2017-02-06 19:00:00	255.816	256.29	255.58	255.86	60	74
2017-02-06 20:00:00	255.88	257.76	255.7	257.76	60	44
2017-02-07 14:00:00	258.116	259.99	256.42	259.3	30	74
2017-02-07 15:00:00	259.33	259.51	257.05	258.06	60	170
2017-02-07 16:00:00	258.06	258.36	256.78	257.76	60	300
2017-02-07 17:00:00	257.77	258.32	257.26	257.53	60	230
2017-02-07 18:00:00	257.53	257.815	256.82	257.7	58	70
2017-02-07 19:00:00	257.765	258.22	257.27	257.54	60	185
2017-02-07 20:00:00	257.55	257.95	256.75	257.44	60	180
